sentence,label
Getting lost in a captivating book,joy
No matter how hard I try I can t seem to shake off this lingering feeling of despair,sadness
"His anger was like a ticking time bomb, and he knew it was only a matter of time before it went off",anger
Their patience and understanding during challenging times make me feel truly cared for and appreciated,love
I am scared that my anxiety will never improve,fear
The taste of a homemade smoothie made with fresh fruits is refreshing,neutral
I'm grateful for the small joys today,joy
"The weight of sadness presses down on me like a vice, squeezing the life out of me",sadness
"The repeated broken promises filled him with a deep, simmering anger that refused to go away",anger
The bond we share is strengthened by the love we have for each other,love
The fear of failure keeps me up at night,fear
I'm considering taking up a new hobby,neutral
Today brought some unexpected joys,joy
I'm so tired of feeling this way,sadness
"The constant stress and anxiety caused by their addiction fuel my anger, making it hard to think clearly",anger
She finds joy in their shared dreams,love
The possibility of identity theft keeps me vigilant,fear
I've been wanting to visit a nearby botanical garden,neutral
It wasn't a bad day today,joy
I try to find solace in the beauty of the world but all I see is a reflection of my own pain,sadness
"Every mistake they made felt like a personal attack, and I was fuming",anger
He finds comfort in her advice,love
Getting a serious illness that has no cure is my worst fear,fear
I've been wanting to explore more local farmers' markets,neutral
Soothing my spirit with the gentle whispers of nature,joy
"The weight of my burdens is like a boulder on my shoulders, dragging me down",sadness
Manipulation pushed her to the brink of madness,anger
Their support and encouragement have been instrumental in helping me achieve my goals and believe in myself,love
The fear of being criticized makes me defensive,fear
The feeling of accomplishment after completing a DIY project is rewarding,neutral
The feeling of pride when seeing loved ones succeed,joy
The activities that used to bring me joy now feel like empty and meaningless tasks,sadness
She was anything but pleased with their lack of professionalism,anger
They make me feel truly valued,love
The thought of losing control over my life is terrifying,fear
The feeling of warm sunshine on my face is so comforting,neutral
Today was pretty good,joy
Today wasn't the best,sadness
She felt her rage building with every denial they made,anger
He is uplifted by her support,love
Worrying about natural disasters happening in my area keeps me on edge,fear
I've been wanting to explore more local farmers' markets,neutral
The excitement of planning a trip to a new destination,joy
It was not a good day today,sadness
He was infuriated by their disregard for the family's wellbeing,anger
"They are not just a partner, but someone who fills my life with endless love and joy",love
My mind races with worry when I think about the future,fear
I've been meaning to catch up on some reading,neutral
The simple pleasure of a hot cup of tea on a chilly day,joy
